language,word,part of speech,meaning,example sentence 1,example sentence 2
Polish,dom,noun,"house, building where people live",Ten dom jest bardzo duży.,Wróciłem do domu po pracy.
Polish,jeść,verb,to eat,Lubię jeść owoce rano.,On je jabłko.
English,run,verb,move swiftly on foot,I try to run every morning.,She runs faster than anyone in her class.
English,book,noun,a written or printed work composed of pages,He is reading an interesting book.,The book was on the table.
Polish,kot,noun,cat,Mój kot śpi na kanapie.,Kot gonił mysz.
English,write,verb,to form letters or words on a surface,I will write a letter to my friend.,She writes in her journal every night.
Polish,dziękuję,expression,thank you,Dziękuję za pomoc.,Bardzo dziękuję za prezent.
English,learn,verb,to gain knowledge or skill,We learn something new every day.,He is learning Polish at school.
Polish,woda,noun,water,Poproszę szklankę wody.,Woda w jeziorze jest czysta.
English,friend,noun,a person whom one knows and trusts,He is my best friend.,They met through mutual friends.
Polish,szkoła,noun,school,Moja szkoła jest blisko domu.,Dzieci idą do szkoły każdego ranka.
English,work,verb,to perform a job or task,I work from home twice a week.,She works in a hospital.
Polish,mówić,verb,to speak,On mówi po angielsku.,Lubię mówić z przyjaciółmi.
English,strong,adjective,having great physical power,He is a strong athlete.,The bridge is strong enough to hold trucks.
Polish,dzień,noun,day,To był długi dzień.,Każdy dzień jest nową szansą.
English,happy,adjective,feeling or showing pleasure,She looks happy today.,They were happy to see each other.
Polish,pies,noun,dog,Mój pies lubi biegać po parku.,Pies szczeka na listonosza.
English,cold,adjective,of low temperature,The water is very cold.,I caught a cold last week.
Polish,pracować,verb,to work,Pracuję jako nauczyciel.,Ona pracuje w biurze.
English,play,verb,to engage in activity for enjoyment,The children play outside every day.,He plays the guitar beautifully.
Polish,okno,noun,window,"Otworzyłem okno, bo było gorąco.",Przez okno widać ogród.
English,travel,verb,to go from one place to another,I love to travel in summer.,They traveled across Europe.
Polish,kawa,noun,coffee,Lubię pić kawę rano.,Poproszę filiżankę kawy.
English,city,noun,a large town,Warsaw is the biggest city in Poland.,The city is full of life at night.
Polish,czytać,verb,to read,Lubię czytać książki.,Dzieci czytają bajki przed snem.
English,think,verb,to use the mind to form ideas,I think it's going to rain.,She thinks about her future often.
Polish,zimno,adjective,cold,Dziś jest bardzo zimno.,W zimie zawsze jest zimno.
English,water,noun,a clear liquid essential for life,Drink enough water every day.,The glass is full of water.
Polish,lato,noun,summer,Lato to moja ulubiona pora roku.,Spędzamy lato nad morzem.
English,listen,verb,to pay attention to sound,Please listen carefully.,He listens to music every night.
